university_id,name en,name ru,name kz,link,longitude,latitude
ENU001,L.N. Gumilyov Eurasian National University,Евразийский национальный университет им. Л.Н. Гумилева,Л. Н. Гумилев атындағы Еуразия ұлттық университеті,https://enu.kz/ru/,51.15834654,71.46743867
KazNU001,Al-Farabi Kazakh National University,Казахский национальный университет имени Аль-Фараби,Әл-Фараби атындағы Қазақ ұлттық университеті,https://www.kaznu.kz/ru,43.22543216,76.92261268
KBTU001,Kazakh-British Technical University,Казахстанско-Британский технический университет,Қазақстан-Британ техникалық университеті,https://kbtu.edu.kz/ru/,43.25545767,76.94334738
KAKUIRWL001,Kazakh Ablai Khan University of International Relations and World Languages,Казахский университет международных отношений и мировых языков имени Абылай Хана,Абылай хан атындағы Қазақ халықаралық қатынастар және әлем тілдері университеті,https://www.ablaikhan.kz/ru/,43.24374465,76.92039954
KIMEP001,NJSC KIMEP University,КИМЭП Университет,КИМЭП университеті,https://www.kimep.kz/ru/,43.24206521,76.95553362
ATU001,Almaty Technological University,Алматинский технологический университет,Алматы технологиялық университеті,https://atu.edu.kz/,43.25616642,76.92557574
AKNMU001,Asfendiyarov Kazakh National Medical University,Казахский национальный медицинский университет им. С.Д. Асфендиярова,С. Д. Асфендияров атындағы Қазақ ұлттық медицина университеті,https://kaznmu.edu.kz/ru/%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0/,43.2531447,76.9318089
EKTU001,D. Serikbayev East Kazakhstan Technical University,Восточно-Казахстанский технический университет им. Д. Серикбаева,Д. Серікбаев атындағы Шығыс Қазақстан техникалық университеті,https://www.ektu.kz/?lang=ru,49.95728912,82.59105967
KBU001,Karaganda Buketov University,Карагандинский университет имени Букетова,Бөкетов атындағы Қарағанды университеті,https://buketov.edu.kz/ru/,49.76886799,73.14417317
KSTU001,Karaganda State Technical University,Карагандинский государственный технический университет,Қарағанды мемлекеттік техникалық университеті,https://www.kstu.kz/,49.81875044,73.10445114
AKYWU001,Khoja Akhmet Yassawi International Kazakh-Turkish University,Международный казахско-турецкий университет имени Ходжи Ахмета Яссави,Қожа Ахмет Ясауи атындағы Халықаралық қазақ-түрік университеті,https://ayu.edu.kz/ru/,43.29092906,68.30035504
AKNPU001,Abai Kazakh National Pedagogical University,Казахский национальный педагогический университет имени Абая,Абай атындағы Қазақ ұлттық педагогикалық университеті,https://www.kaznpu.kz/ru/,43.256256,76.95257
KNARU001,Kazakh National Agrarian Research University (KazNARU),Казахский национальный исследовательский аграрный университет (KazNARU),Қазақ ұлттық аграрлық зерттеу университеті (KazNA RU),https://www.kaznaru.edu.kz/,43.24206991,"43.24206990508665, 76.95300544251265"
SKU001,Auezov South Kazakhstan University (SKU),Южно-Казахстанский университет им. Ауэзова (SKU),Әуезов атындағы Оңтүстік Қазақстан университеті (SKU),https://auezov.edu.kz/rus,42.32060303,69.59070998
SU001,Satbayev University,Сатпаевский университет,Сәтбаев университеті,https://satbayev.university/ru,43.23721685,76.93120379
NU001,Nazarbayev University,Назарбаев университет,Назарбаев Университеті,https://nu.edu.kz/ru,51.09075265,71.39818605
ZU001,Zhetysu University,Жетысуский университет,Жетісу университеті,https://zhetysu.edu.kz/,45.00888453,78.34962947
TAU001,Turan-Astana University,Туран-Астана Университет,Тұран-Астана Университеті,https://tau-edu.kz/,51.18190458,71.43095585
TU001,Toraighyrov University,Торайгыров Университет,Торайғыров Университеті,https://tou.edu.kz/ru/,52.26570922,76.96684313
SDU001,SDU University,SDU Университет,SDU университеті,https://sdu.edu.kz/language/ru/,43.20901842,76.66839185
SAEKU001,Sarsen Amanzholov East Kazakhstan University,Восточно-Казахстанский университет им. С. Аманжолова,С. Аманжолов атындағы Шығыс Қазақстан университеті,https://vku.edu.kz/ru/,49.9607786,82.59125558
NU002,Narxoz University,Нархоз Университет,Нархоз Университеті,https://narxoz.edu.kz/,43.21490296,76.87140612
MU001,Margulan University,Маргулан Университет,Марғұлан Университеті,https://ppu.edu.kz/,52.29838405,76.95499675
